de,en
Frieden,peace
Höhe der Bezahlung,level of payment
Gefühl von Sicherheit,sense of security
Persönliche Freiheit und Entfaltungsfreiheit,personal freedom and freedom to develop
Funktionierender Rechtsstaat,functioning state governed by rule of law
Wohnraum,living space
Solidarität und Hilfsbereitschaft,solidarity and helpfulness
Soziales Engagement,civic engagement
Meinungs- und Informationsfreiheit,freedom of expression and information
Toleranz zwischen gesellschaftlichen Gruppen,tolerance between societal groups
Respekt und Rücksichtnahme,respect and consideration
Sozialstaatliche Leistungen,welfare state provisions
Intakte Natur,unspoilt nature
Willkommenskultur und Integration,welcoming culture and integration
Vereinbarkeit von Familie und Beruf,work-life balance
Chancengleichheit im Bildungssystem,equal educational opportunities
Sicherheit des Arbeitsplatzes,job security
Verteilungsgerechtigkeit,equity
Politische Partizipation,political participation
Individueller Wohlstand,individual prosperity
Zugang zu Gesundheitsleistungen, access to health care
